codigo;latitude;longitude;altitude
SJTW;"29° 53' 22"" S";"57° 8' 28"" W";79 m
SSOU;"10° 11' 8"" S";"59° 27' 28"" W";230 m
SWOA;"16° 32' 26"" S";"49° 23' 54"" W";800 m
SIEZ;"28° 31' 41"" S";"48° 56' 57"" W";8 m
SJPR;"25° 32' 58"" S";"49° 38' 35"" W";886 m
SINA;"15° 36' 37"" S";"47° 34' 26"" W";1159 m
SIWC;"19° 1' 59"" S";"48° 18' 25"" W";873 m
SSXA;"22° 20' 19"" S";"54° 33' 30"" W";350 m
SDBN;"23° 41' 14"" S";"47° 33' 27"" W";706 m
SWEJ;"10° 10' 58"" S";"48° 32' 45"" W";301 m
SWAK;"1° 3' 59"" N";"67° 36' 2"" W";150 m
SDPC;"22° 9' 10"" S";"51° 1' 43"" W";483 m
SWBV;"4° 0' 59"" N";"64° 31' 7"" W";712 m
SSJS;"11° 32' 38"" S";"58° 13' 25"" W";299 m
SIMN;"11° 45' 14"" S";"55° 21' 32"" W";367 m
SWVS;"15° 51' 32"" S";"60° 2' 32"" W";222 m
SJYK;"1° 4' 16"" N";"62° 13' 6"" W";52 m
SJYL;"2° 44' 13"" N";"62° 1' 10"" W";152 m
SJYM;"3° 50' 14"" N";"60° 36' 12"" W";106 m
SNBN;"2° 52' 33"" S";"50° 29' 30"" W";62 m
SDBV;"24° 52' 15"" S";"47° 45' 30"" W";8 m
SDOS;"24° 25' 9"" S";"47° 52' 9"" W";30 m
SIVW;"24° 42' 36"" S";"48° 1' 26"" W";27 m
SJYO;"4° 37' 58"" N";"60° 35' 8"" W";272 m
SJYP;"4° 19' 16"" N";"60° 11' 38"" W";272 m
SJQK;"2° 41' 44"" N";"60° 48' 51"" W";85 m
SIRI;"13° 54' 22"" S";"38° 56' 24"" W";10 m
SJYQ;"4° 19' 51"" N";"60° 17' 8"" W";364 m
SWZL;"17° 44' 30"" S";"50° 58' 7"" W";860 m
SIVP;"14° 26' 27"" S";"50° 32' 9"" W";275 m
SWUB;"12° 9' 48"" S";"38° 17' 36"" W";133 m
SJBW;"29° 43' 59"" S";"51° 12' 35"" W";8 m
SILS;"14° 38' 12"" S";"57° 36' 29"" W";347 m
SDBE;"2° 12' 28"" S";"48° 48' 50"" W";20 m
SWEX;"3° 54' 43"" S";"45° 46' 59"" W";74 m
SDBJ;"18° 45' 26"" S";"46° 58' 12"" W";1172 m
SNGQ;"19° 41' 17"" S";"45° 16' 11"" W";735 m
SIAQ;"15° 30' 23"" S";"56° 5' 54"" W";229 m
SNWB;"16° 22' 52"" S";"39° 4' 52"" W";63 m
SSHB;"12° 4' 6"" S";"45° 49' 43"" W";765 m
SIQE;"15° 56' 14"" S";"47° 43' 38"" W";1025 m
SDNB;"12° 5' 58"" S";"58° 0' 6"" W";323 m
SJIL;"18° 36' 39"" S";"48° 43' 11"" W";214 m
SDCU;"22° 33' 15"" S";"42° 6' 54"" W";6 m
SILU;"19° 51' 57"" S";"56° 59' 17"" W";130 m
SJVB;"22° 50' 55"" S";"50° 43' 54"" W";358 m
SJZT;"13° 14' 19"" S";"43° 44' 10"" W";457 m
SNNX;"29° 58' 50"" S";"57° 16' 16"" W";68 m
SNDX;"10° 2' 26"" S";"36° 19' 33"" W";105 m
SJEA;"12° 51' 0"" S";"48° 13' 31"" W";300 m
SWIS;"9° 11' 11"" S";"49° 46' 34"" W";197 m
SIRJ;"4° 18' 14"" S";"56° 13' 9"" W";35 m
SJYR;"4° 42' 21"" N";"60° 30' 55"" W";242 m
SIZO;"14° 11' 25"" S";"51° 38' 38"" W";260 m
SIKK;"20° 15' 2"" S";"45° 38' 42"" W";664 m
