codigo;latitude;longitude;altitude
SSBU;"21° 27' 23"" S";"57° 8' 25"" W";363 m
SIXU;"16° 55' 33"" S";"54° 4' 17"" W";766 m
SNQR;"16° 43' 16"" S";"57° 13' 56"" W";118 m
SWKB;"17° 33' 57"" S";"55° 17' 18"" W";148 m
SWDQ;"18° 49' 44"" S";"55° 12' 24"" W";160 m
SSBB;"17° 22' 34"" S";"45° 57' 0"" W";550 m
SITI;"17° 0' 46"" S";"44° 47' 25"" W";524 m
SWDR;"22° 36' 32"" S";"53° 26' 50"" W";248 m
SJDX;"19° 24' 44"" S";"55° 32' 59"" W";130 m
SNFQ;"14° 20' 52"" S";"56° 56' 54"" W";329 m
SJZD;"17° 51' 36"" S";"56° 42' 23"" W";114 m
SDSL;"10° 53' 24"" S";"52° 44' 5"" W";331 m
SNFS;"11° 35' 59"" S";"46° 1' 43"" W";808 m
SIYE;"20° 48' 37"" S";"48° 13' 22"" W";490 m
SDNC;"15° 25' 44"" S";"54° 44' 7"" W";658 m
SSBC;"20° 43' 34"" S";"51° 35' 19"" W";340 m
SIXL;"6° 24' 58"" S";"52° 22' 50"" W";191 m
SDLD;"10° 8' 18"" S";"51° 59' 39"" W";288 m
SDXO;"23° 35' 21"" S";"50° 2' 8"" W";540 m
SJJU;"14° 2' 58"" S";"60° 9' 7"" W";221 m
SSOQ;"19° 34' 40"" S";"56° 9' 8"" W";153 m
SJRR;"17° 1' 19"" S";"50° 57' 19"" W";747 m
SDWN;"20° 20' 53"" S";"48° 46' 31"" W";532 m
SJGY;"13° 42' 30"" S";"46° 44' 37"" W";456 m
SWDB;"19° 49' 7"" S";"57° 12' 22"" W";95 m
SJWB;"22° 9' 53"" S";"50° 57' 54"" W";473 m
SSIF;"23° 33' 45"" S";"54° 1' 49"" W";292 m
SWTC;"21° 4' 19"" S";"52° 6' 16"" W";293 m
SNZO;"5° 17' 50"" S";"35° 32' 11"" W";61 m
SWKV;"10° 54' 28"" S";"55° 51' 45"" W";281 m
SSYB;"20° 1' 4"" S";"50° 53' 33"" W";374 m
SJNO;"15° 1' 59"" S";"39° 39' 52"" W";217 m
SWRA;"10° 3' 18"" S";"56° 59' 30"" W";264 m
SITM;"21° 25' 3"" S";"51° 53' 40"" W";273 m
SIBV;"21° 26' 55"" S";"54° 29' 19"" W";330 m
SWBY;"17° 9' 13"" S";"50° 0' 52"" W";602 m
SNGK;"19° 2' 46"" S";"48° 58' 23"" W";605 m
SNVA;"7° 59' 15"" S";"50° 37' 54"" W";316 m
SIQA;"20° 23' 17"" S";"53° 22' 24"" W";464 m
SWVV;"15° 45' 12"" S";"60° 5' 56"" W";222 m
SJXV;"22° 55' 52"" S";"55° 3' 16"" W";383 m
SNBE;"22° 37' 2"" S";"53° 34' 51"" W";256 m
SINI;"18° 12' 21"" S";"55° 58' 24"" W";143 m
SILB;"11° 31' 44"" S";"45° 44' 1"" W";794 m
SJPW;"12° 53' 37"" S";"56° 21' 50"" W";415 m
SWBF;"10° 0' 18"" S";"49° 29' 20"" W";226 m
SIBI;"10° 50' 17"" S";"37° 11' 46"" W";52 m
SSBW;"20° 54' 47"" S";"55° 0' 49"" W";365 m
SDCE;"11° 18' 6"" S";"48° 40' 44"" W";291 m
SJVS;"23° 4' 45"" S";"51° 46' 45"" W";530 m
SSMV;"22° 2' 41"" S";"47° 33' 36"" W";750 m
SNLZ;"9° 25' 55"" S";"49° 35' 28"" W";204 m
SIEV;"20° 46' 0"" S";"56° 42' 26"" W";477 m
SNHU;"4° 34' 9"" S";"47° 28' 16"" W";213 m
SSQG;"4° 52' 19"" S";"48° 57' 27"" W";158 m
SDCZ;"22° 56' 10"" S";"44° 5' 55"" W";5 m
SWXN;"17° 14' 50"" S";"51° 16' 14"" W";894 m
SIFJ;"16° 47' 39"" S";"54° 6' 36"" W";721 m
SWJM;"12° 57' 59"" S";"46° 33' 55"" W";630 m
SWMH;"15° 32' 20"" S";"51° 1' 4"" W";285 m
SJZQ;"29° 18' 29"" S";"56° 11' 34"" W";70 m
SIBC;"20° 40' 35"" S";"51° 1' 51"" W";365 m
SIKN;"5° 9' 26"" S";"45° 54' 56"" W";283 m
SIDK;"12° 53' 24"" S";"46° 41' 36"" W";697 m
SIVV;"16° 55' 39"" S";"56° 13' 59"" W";149 m
SNRB;"30° 20' 42"" S";"55° 3' 6"" W";133 m
SSQS;"15° 2' 3"" S";"52° 19' 2"" W";305 m
SSVD;"22° 42' 6"" S";"54° 36' 31"" W";430 m
SJFN;"18° 22' 18"" S";"54° 55' 44"" W";229 m
SDBZ;"12° 32' 58"" S";"46° 53' 12"" W";399 m
SSJJ;"19° 23' 8"" S";"53° 41' 51"" W";610 m
SDRQ;"12° 49' 38"" S";"46° 15' 7"" W";939 m
SWYQ;"9° 17' 4"" S";"51° 45' 6"" W";300 m
SSBQ;"10° 8' 59"" S";"52° 17' 13"" W";300 m
SJTB;"15° 27' 54"" S";"55° 37' 21"" W";747 m
SJNI;"20° 28' 48"" S";"50° 11' 15"" W";426 m
SSQJ;"16° 54' 8"" S";"46° 37' 3"" W";530 m
SNNN;"15° 59' 23"" S";"45° 59' 51"" W";510 m
SDYI;"17° 55' 2"" S";"45° 25' 16"" W";912 m
SJGC;"12° 54' 6"" S";"45° 30' 0"" W";366 m
SNHK;"21° 17' 39"" S";"55° 49' 25"" W";314 m
SDVQ;"8° 9' 23"" S";"46° 44' 19"" W";446 m
SSCM;"21° 36' 53"" S";"54° 47' 46"" W";400 m
SIIT;"20° 45' 35"" S";"55° 34' 19"" W";362 m
SJFK;"12° 35' 28"" S";"49° 31' 30"" W";235 m
SWTJ;"14° 33' 57"" S";"57° 46' 41"" W";299 m
SWQX;"19° 41' 54"" S";"53° 4' 53"" W";494 m
SJJC;"22° 30' 1"" S";"55° 21' 39"" W";497 m
SWKA;"17° 23' 23"" S";"45° 5' 38"" W";699 m
SIAS;"12° 56' 25"" S";"54° 16' 6"" W";350 m
SJYH;"8° 46' 50"" S";"50° 58' 8"" W";311 m
SIFN;"20° 53' 28"" S";"53° 24' 15"" W";324 m
SNFB;"15° 55' 52"" S";"49° 40' 42"" W";771 m
SIZC;"11° 16' 25"" S";"45° 36' 50"" W";763 m
SSCH;"21° 35' 50"" S";"53° 13' 32"" W";321 m
SJWW;"20° 1' 17"" S";"53° 12' 58"" W";363 m
SNWF;"22° 26' 17"" S";"55° 13' 54"" W";450 m
SIOK;"19° 21' 32"" S";"47° 7' 43"" W";923 m
SWXG;"17° 13' 57"" S";"51° 39' 1"" W";993 m
SJJB;"20° 46' 7"" S";"52° 46' 43"" W";433 m
SJIZ;"16° 11' 44"" S";"39° 31' 3"" W";180 m
SDCR;"24° 4' 14"" S";"46° 49' 44"" W";12 m
SWCF;"9° 44' 15"" S";"51° 29' 50"" W";800 m
SDSA;"18° 2' 8"" S";"55° 42' 59"" W";151 m
SIMS;"19° 5' 39"" S";"54° 11' 12"" W";372 m
SNQI;"14° 7' 5"" S";"57° 20' 28"" W";840 m
SIXB;"11° 37' 10"" S";"56° 33' 41"" W";385 m
SWEV;"13° 36' 17"" S";"46° 3' 8"" W";902 m
SIJJ;"22° 40' 12"" S";"54° 19' 22"" W";443 m
SDMY;"21° 37' 58"" S";"48° 28' 46"" W";618 m
SSWR;"21° 53' 17"" S";"54° 17' 43"" W";318 m
SSNK;"20° 24' 40"" S";"56° 31' 50"" W";170 m
SDTD;"22° 46' 56"" S";"55° 4' 25"" W";426 m
SNCM;"16° 14' 18"" S";"58° 23' 12"" W";137 m
SSKA;"18° 54' 20"" S";"56° 21' 35"" W";100 m
SJJL;"11° 47' 18"" S";"45° 57' 53"" W";737 m
SDCL;"23° 9' 15"" S";"49° 12' 32"" W";665 m
SWCJ;"8° 35' 28"" S";"44° 14' 54"" W";550 m
SJDN;"19° 27' 22"" S";"55° 44' 27"" W";170 m
SNLJ;"18° 36' 18"" S";"56° 12' 54"" W";121 m
SJNU;"13° 2' 20"" S";"51° 42' 47"" W";308 m
SNTC;"19° 21' 26"" S";"48° 41' 19"" W";687 m
SIWY;"17° 30' 46"" S";"55° 46' 23"" W";135 m
SSCA;"18° 44' 22"" S";"52° 37' 12"" W";810 m
SDOQ;"12° 40' 27"" S";"51° 44' 22"" W";346 m
SJPK;"5° 19' 20"" S";"42° 49' 46"" W";10 m
SJFL;"12° 33' 42"" S";"49° 51' 56"" W";330 m
SIUC;"15° 10' 46"" S";"45° 13' 30"" W";793 m
SDKO;"20° 15' 28"" S";"48° 47' 19"" W";558 m
SWGJ;"12° 42' 44"" S";"44° 35' 26"" W";776 m
SJZF;"20° 37' 30"" S";"52° 2' 20"" W";360 m
SDVT;"22° 39' 6"" S";"53° 30' 28"" W";257 m
SNKV;"1° 2' 34"" N";"50° 31' 1"" W";15 m
SDVA;"21° 50' 34"" S";"46° 55' 59"" W";710 m
SDZL;"18° 36' 27"" S";"55° 41' 24"" W";151 m
SWCR;"10° 21' 9"" S";"45° 33' 53"" W";801 m
SJBH;"12° 48' 4"" S";"52° 31' 35"" W";350 m
SNNB;"17° 10' 26"" S";"46° 18' 0"" W";543 m
SWXX;"18° 51' 43"" S";"48° 25' 23"" W";853 m
SJER;"17° 21' 42"" S";"50° 20' 19"" W";552 m
SNZK;"15° 1' 24"" S";"44° 2' 36"" W";460 m
SWXA;"15° 2' 32"" S";"51° 24' 2"" W";254 m
SJJW;"18° 32' 53"" S";"50° 22' 52"" W";518 m
SDQD;"16° 6' 40"" S";"60° 0' 47"" W";275 m
SJDZ;"15° 50' 3"" S";"46° 34' 15"" W";940 m
SJZS;"7° 32' 4"" S";"44° 49' 14"" W";390 m
SWGZ;"3° 0' 45"" S";"48° 54' 1"" W";70 m
SSFQ;"5° 56' 17"" S";"46° 14' 56"" W";291 m
SNHE;"11° 58' 39"" S";"49° 54' 29"" W";240 m
SSGT;"21° 41' 56"" S";"54° 48' 50"" W";320 m
SDIC;"20° 42' 43"" S";"45° 41' 22"" W";810 m
SSGH;"20° 4' 25"" S";"56° 4' 6"" W";125 m
SNZD;"13° 23' 29"" S";"61° 4' 8"" W";190 m
SSGQ;"21° 45' 53"" S";"54° 19' 24"" W";331 m
SIJK;"12° 41' 32"" S";"38° 11' 48"" W";24 m
SJCJ;"13° 24' 16"" S";"58° 46' 20"" W";568 m
SDRU;"21° 41' 36"" S";"50° 56' 9"" W";388 m
SJDW;"22° 7' 37"" S";"57° 17' 22"" W";167 m
SWJC;"19° 3' 5"" S";"55° 5' 52"" W";180 m
SSZN;"16° 42' 22"" S";"58° 6' 34"" W";107 m
SJIU;"12° 12' 52"" S";"55° 59' 14"" W";373 m
SNIW;"21° 28' 42"" S";"55° 19' 53"" W";499 m
SJVI;"18° 26' 43"" S";"56° 19' 46"" W";118 m
SSFZ;"15° 38' 57"" S";"46° 26' 35"" W";570 m
SWYL;"3° 30' 40"" S";"39° 38' 37"" W";138 m
SJSN;"14° 50' 14"" S";"49° 21' 52"" W";570 m
SNQO;"17° 34' 4"" S";"56° 28' 58"" W";125 m
SDTO;"21° 15' 19"" S";"49° 47' 41"" W";413 m
SICF;"11° 28' 6"" S";"57° 36' 34"" W";293 m
SSYZ;"22° 51' 1"" S";"55° 24' 43"" W";486 m
SNCG;"20° 45' 43"" S";"54° 26' 52"" W";564 m
SWFC;"12° 58' 35"" S";"56° 11' 1"" W";408 m
SSCJ;"21° 32' 30"" S";"54° 39' 42"" W";326 m
SSHU;"19° 27' 29"" S";"56° 2' 43"" W";130 m
SNHX;"19° 24' 57"" S";"56° 11' 36"" W";115 m
SNCC;"13° 34' 34"" S";"60° 48' 10"" W";196 m
SDIP;"23° 2' 36"" S";"45° 46' 32"" W";583 m
SSCW;"13° 24' 20"" S";"57° 9' 4"" W";388 m
SWCE;"11° 21' 8"" S";"46° 9' 41"" W";825 m
SWVI;"11° 13' 51"" S";"46° 2' 39"" W";796 m
SDQL;"21° 10' 59"" S";"55° 44' 3"" W";289 m
SJJD;"22° 2' 5"" S";"57° 28' 9"" W";171 m
SSVE;"23° 48' 46"" S";"55° 3' 28"" W";381 m
SNZC;"19° 39' 38"" S";"55° 37' 31"" W";120 m
SSZB;"14° 9' 54"" S";"57° 9' 29"" W";547 m
SNOK;"2° 19' 38"" S";"47° 39' 4"" W";38 m
SJKG;"6° 20' 55"" S";"42° 28' 34"" W";420 m
SIEG;"17° 53' 38"" S";"47° 14' 38"" W";988 m
SSGC;"15° 49' 16"" S";"55° 59' 57"" W";154 m
SSDH;"13° 25' 56"" S";"45° 18' 4"" W";771 m
SWHF;"13° 28' 24"" S";"45° 22' 18"" W";777 m
SDRH;"20° 50' 40"" S";"54° 31' 34"" W";460 m
SJLB;"15° 34' 14"" S";"57° 46' 27"" W";174 m
SIDM;"15° 2' 14"" S";"52° 5' 54"" W";280 m
SJPX;"15° 24' 55"" S";"54° 22' 20"" W";618 m
SSZV;"16° 56' 18"" S";"54° 26' 10"" W";336 m
SNKY;"3° 39' 52"" S";"48° 50' 4"" W";91 m
SJZN;"12° 59' 26"" S";"58° 36' 33"" W";491 m
SISK;"18° 51' 53"" S";"52° 2' 50"" W";638 m
SJAW;"21° 43' 28"" S";"48° 22' 38"" W";625 m
SWGV;"12° 48' 7"" S";"52° 36' 28"" W";306 m
SWHN;"20° 13' 37"" S";"51° 50' 45"" W";424 m
SWDD;"16° 12' 15"" S";"55° 23' 54"" W";732 m
SNCF;"15° 27' 2"" S";"43° 24' 9"" W";494 m
SJHO;"13° 57' 5"" S";"57° 6' 20"" W";518 m
SDQU;"9° 15' 21"" S";"44° 47' 58"" W";643 m
SDLW;"14° 58' 55"" S";"50° 50' 58"" W";283 m
SWOR;"15° 27' 12"" S";"51° 13' 29"" W";280 m
SITC;"13° 7' 56"" S";"55° 26' 43"" W";435 m
SIWX;"13° 55' 34"" S";"58° 53' 0"" W";639 m
SSYU;"22° 51' 7"" S";"54° 12' 30"" W";350 m
SJQO;"7° 56' 55"" S";"45° 5' 26"" W";461 m
SNXR;"7° 23' 23"" S";"56° 31' 13"" W";235 m
SNLQ;"14° 3' 57"" S";"50° 24' 55"" W";293 m
SNEW;"19° 39' 45"" S";"50° 57' 3"" W";430 m
SDFC;"20° 29' 20"" S";"49° 11' 20"" W";509 m
SWBP;"20° 14' 28"" S";"48° 39' 30"" W";450 m
SWCO;"14° 42' 56"" S";"51° 12' 35"" W";280 m
SJXU;"15° 45' 3"" S";"47° 32' 23"" W";1007 m
SICR;"15° 58' 12"" S";"59° 38' 36"" W";249 m
SWZC;"16° 14' 45"" S";"58° 53' 40"" W";150 m
SSZL;"21° 26' 30"" S";"52° 9' 27"" W";319 m
SWMA;"18° 41' 42"" S";"53° 34' 34"" W";571 m
SNUM;"13° 43' 51"" S";"52° 41' 39"" W";437 m
SSZH;"23° 38' 44"" S";"54° 42' 51"" W";342 m
SIDW;"13° 0' 12"" S";"56° 5' 16"" W";413 m
SWTL;"12° 30' 52"" S";"61° 18' 14"" W";374 m
SJEF;"19° 44' 49"" S";"56° 2' 32"" W";104 m
SIRM;"13° 59' 25"" S";"52° 55' 37"" W";420 m
SSCX;"28° 7' 0"" S";"52° 19' 0"" W";650 m
SJEQ;"17° 51' 47"" S";"55° 42' 28"" W";145 m
SSKD;"14° 20' 29"" S";"50° 27' 10"" W";298 m
SSKC;"14° 59' 11"" S";"57° 18' 12"" W";200 m
SSKI;"12° 5' 15"" S";"61° 16' 37"" W";294 m
SIYH;"18° 58' 55"" S";"55° 17' 30"" W";155 m
SIYD;"13° 32' 48"" S";"60° 25' 6"" W";215 m
SWCU;"8° 0' 15"" S";"54° 56' 8"" W";268 m
SJFX;"19° 20' 6"" S";"56° 54' 15"" W";93 m
SJDY;"18° 39' 47"" S";"54° 4' 7"" W";467 m
SSDX;"31° 0' 0"" S";"51° 42' 2"" W";10 m
SDMF;"19° 58' 39"" S";"56° 26' 19"" W";105 m
SIXD;"30° 50' 40"" S";"55° 34' 5"" W";691 m
SWPS;"19° 30' 8"" S";"44° 9' 28"" W";850 m
SDRA;"23° 52' 38"" S";"48° 3' 3"" W";692 m
SJAI;"13° 11' 6"" S";"48° 45' 10"" W";385 m
SWZD;"17° 15' 21"" S";"50° 8' 32"" W";518 m
SDIZ;"9° 3' 32"" S";"45° 30' 15"" W";545 m
SSTV;"12° 7' 11"" S";"55° 24' 7"" W";374 m
SDMP;"23° 8' 19"" S";"48° 29' 43"" W";677 m
SJSO;"12° 58' 13"" S";"56° 19' 14"" W";414 m
SWZT;"19° 15' 18"" S";"44° 28' 25"" W";747 m
SSYF;"18° 52' 22"" S";"48° 43' 18"" W";842 m
SDRX;"28° 6' 32"" S";"53° 11' 48"" W";601 m
SWDC;"12° 16' 16"" S";"38° 45' 6"" W";233 m
SIMQ;"18° 12' 32"" S";"55° 45' 11"" W";150 m
SNDI;"22° 47' 32"" S";"54° 10' 46"" W";421 m
SDDE;"8° 0' 35"" S";"61° 46' 34"" W";105 m
SSVK;"22° 47' 40"" S";"54° 9' 25"" W";396 m
SIID;"30° 2' 1"" S";"50° 22' 20"" W";33 m
SSWZ;"18° 30' 34"" S";"46° 16' 26"" W";1054 m
SDSK;"22° 42' 53"" S";"54° 2' 41"" W";378 m
SWFD;"22° 33' 33"" S";"55° 22' 33"" W";566 m
SNXG;"6° 46' 29"" S";"49° 21' 41"" W";227 m
SIFS;"20° 45' 32"" S";"56° 1' 57"" W";168 m
SSDU;"16° 9' 47"" S";"58° 11' 2"" W";244 m
SWED;"7° 45' 31"" S";"49° 7' 40"" W";209 m
SWJX;"13° 36' 12"" S";"53° 32' 39"" W";473 m
SSFI;"17° 54' 26"" S";"56° 33' 48"" W";121 m
SIEM;"13° 19' 0"" S";"58° 47' 54"" W";534 m
SDEO;"21° 52' 43"" S";"48° 39' 34"" W";521 m
SWER;"21° 21' 54"" S";"57° 6' 33"" W";320 m
SDER;"20° 45' 56"" S";"50° 51' 18"" W";370 m
SNGM;"5° 33' 36"" S";"50° 57' 55"" W";240 m
SSED;"17° 57' 24"" S";"54° 25' 9"" W";345 m
SDYN;"22° 35' 20"" S";"51° 17' 56"" W";416 m
SIED;"23° 47' 39"" S";"55° 20' 9"" W";378 m
SNGH;"18° 48' 13"" S";"53° 42' 38"" W";552 m
SIHP;"23° 52' 3"" S";"48° 48' 21"" W";691 m
SINH;"22° 38' 33"" S";"53° 33' 43"" W";253 m
SDQZ;"15° 23' 50"" S";"52° 4' 29"" W";302 m
SNWX;"20° 50' 53"" S";"54° 5' 36"" W";458 m
SIEK;"0° 59' 16"" S";"48° 53' 21"" W";5 m
SWMI;"20° 52' 6"" S";"52° 51' 56"" W";405 m
SIQD;"20° 38' 27"" S";"54° 47' 26"" W";600 m
SIFE;"21° 43' 31"" S";"55° 5' 39"" W";381 m
SWEZ;"14° 25' 23"" S";"56° 4' 19"" W";449 m
SSPP;"17° 16' 0"" S";"51° 13' 6"" W";871 m
SNET;"21° 16' 26"" S";"55° 12' 58"" W";469 m
SSOJ;"19° 58' 45"" S";"51° 44' 6"" W";475 m
SJEJ;"3° 22' 6"" N";"61° 13' 11"" W";113 m
SWGD;"8° 28' 17"" S";"45° 19' 44"" W";529 m
SIYW;"9° 32' 15"" S";"65° 43' 52"" W";166 m
SNQN;"13° 9' 23"" S";"52° 34' 16"" W";343 m
SWFJ;"22° 12' 37"" S";"55° 47' 49"" W";658 m
SDQB;"13° 11' 21"" S";"52° 18' 25"" W";381 m
SIWA;"10° 44' 56"" S";"59° 22' 7"" W";282 m
SWZY;"11° 34' 38"" S";"58° 14' 3"" W";300 m
SITX;"21° 47' 25"" S";"54° 5' 2"" W";302 m
SNQT;"23° 47' 45"" S";"53° 28' 47"" W";470 m
SNUG;"14° 57' 20"" S";"59° 37' 22"" W";245 m
SWEF;"14° 48' 47"" S";"51° 9' 24"" W";258 m
SSEC;"18° 21' 51"" S";"48° 52' 20"" W";526 m
SDQX;"15° 23' 58"" S";"54° 10' 52"" W";602 m
SJFG;"15° 7' 18"" S";"54° 56' 26"" W";886 m
SIWZ;"19° 28' 50"" S";"56° 29' 3"" W";105 m
SWEW;"15° 50' 26"" S";"58° 38' 7"" W";200 m
SWIH;"14° 54' 8"" S";"52° 44' 5"" W";413 m
SNYX;"20° 46' 46"" S";"41° 59' 42"" W";482 m
SDFK;"22° 4' 8"" S";"52° 9' 32"" W";376 m
SITL;"20° 10' 2"" S";"53° 4' 15"" W";413 m
SIDN;"18° 23' 48"" S";"55° 24' 50"" W";165 m
SJFY;"13° 51' 5"" S";"57° 56' 41"" W";599 m
SNMV;"18° 21' 0"" S";"53° 45' 0"" W";381 m
SWXR;"13° 0' 20"" S";"44° 3' 38"" W";574 m
SJWI;"21° 30' 3"" S";"53° 45' 19"" W";413 m
SNVZ;"14° 6' 3"" S";"46° 10' 47"" W";994 m
SIZF;"13° 3' 40"" S";"53° 0' 13"" W";368 m
SIUH;"5° 2' 57"" S";"40° 14' 3"" W";400 m
SDQF;"17° 35' 53"" S";"50° 41' 40"" W";612 m
SSJQ;"12° 48' 24"" S";"51° 52' 27"" W";362 m
SNHD;"19° 4' 41"" S";"48° 7' 46"" W";963 m
SWVY;"23° 48' 54"" S";"54° 41' 59"" W";385 m
SSNY;"17° 11' 1"" S";"58° 13' 0"" W";165 m
SNSJ;"13° 31' 47"" S";"58° 34' 24"" W";525 m
SDMX;"15° 30' 10"" S";"55° 22' 54"" W";696 m
SJQU;"10° 42' 10"" S";"45° 23' 21"" W";767 m
SSGF;"20° 11' 50"" S";"53° 13' 25"" W";500 m
SNQM;"17° 8' 57"" S";"50° 35' 45"" W";640 m
SJSX;"15° 12' 59"" S";"50° 50' 12"" W";328 m
SJQJ;"20° 35' 45"" S";"48° 22' 22"" W";494 m
SNYF;"20° 56' 50"" S";"52° 43' 19"" W";395 m
SWWI;"15° 40' 42"" S";"53° 34' 57"" W";618 m
SSWE;"28° 55' 57"" S";"53° 25' 31"" W";425 m
SWGF;"7° 54' 28"" S";"61° 15' 0"" W";86 m
SDPP;"23° 17' 36"" S";"48° 48' 49"" W";593 m
SDTZ;"8° 52' 14"" S";"45° 33' 40"" W";510 m
SNJI;"17° 11' 12"" S";"44° 38' 58"" W";500 m
SSDP;"14° 27' 50"" S";"60° 10' 29"" W";237 m
SIVR;"9° 9' 58"" S";"56° 54' 56"" W";198 m
SSSF;"17° 18' 48"" S";"50° 25' 29"" W";601 m
SWFF;"13° 25' 8"" S";"58° 28' 22"" W";515 m
SNJE;"5° 2' 43"" S";"44° 2' 49"" W";152 m
SSYY;"18° 57' 9"" S";"53° 9' 17"" W";586 m
SWUL;"6° 12' 57"" S";"48° 25' 33"" W";118 m
SDNS;"14° 59' 4"" S";"55° 12' 46"" W";648 m
SWKF;"15° 2' 41"" S";"59° 25' 18"" W";270 m
SDFF;"9° 34' 12"" S";"67° 18' 23"" W";197 m
SJDF;"16° 56' 49"" S";"46° 11' 39"" W";501 m
SWPA;"13° 7' 19"" S";"55° 4' 11"" W";434 m
SSYE;"15° 19' 1"" S";"58° 30' 32"" W";379 m
SJFV;"18° 45' 59"" S";"48° 45' 17"" W";822 m
SIGX;"11° 12' 1"" S";"58° 14' 15"" W";246 m
SDGP;"14° 0' 45"" S";"53° 28' 0"" W";466 m
SSVW;"14° 30' 47"" S";"59° 33' 25"" W";297 m
SJRH;"15° 18' 29"" S";"54° 35' 59"" W";545 m
SSWG;"9° 2' 57"" S";"45° 19' 51"" W";615 m
SJVG;"14° 42' 30"" S";"59° 53' 15"" W";227 m
SIPR;"30° 1' 32"" S";"56° 17' 13"" W";211 m
SSVV;"18° 43' 9"" S";"54° 18' 3"" W";306 m
SJYZ;"13° 43' 23"" S";"57° 37' 14"" W";559 m
SIKU;"13° 1' 53"" S";"52° 58' 51"" W";355 m
SSQK;"23° 13' 30"" S";"49° 10' 45"" W";619 m
SWJD;"13° 27' 8"" S";"46° 40' 46"" W";390 m
SSHV;"17° 43' 27"" S";"44° 36' 56"" W";586 m
SSHF;"10° 40' 43"" S";"45° 50' 0"" W";738 m
SJAH;"5° 46' 26"" S";"46° 9' 53"" W";226 m
SSEM;"16° 12' 24"" S";"55° 17' 43"" W";678 m
SNFW;"18° 48' 11"" S";"54° 51' 7"" W";425 m
SDCK;"17° 0' 48"" S";"46° 4' 19"" W";508 m
SNSU;"12° 56' 53"" S";"58° 35' 14"" W";474 m
SIGT;"23° 59' 22"" S";"49° 10' 45"" W";689 m
SIAG;"18° 2' 1"" S";"49° 42' 20"" W";640 m
SIYO;"17° 15' 20"" S";"51° 18' 23"" W";868 m
SIGA;"17° 9' 44"" S";"46° 39' 36"" W";593 m
SINS;"16° 10' 12"" S";"58° 33' 25"" W";177 m
SNXU;"20° 28' 45"" S";"55° 19' 32"" W";278 m
SSXM;"22° 47' 9"" S";"53° 52' 48"" W";325 m
SJOW;"20° 59' 2"" S";"50° 31' 33"" W";361 m
SIGY;"22° 4' 27"" S";"51° 2' 20"" W";455 m
SSGN;"23° 14' 21"" S";"54° 32' 28"" W";426,72 m
SIOB;"20° 49' 5"" S";"51° 16' 0"" W";385 m
SJRS;"21° 20' 37"" S";"51° 24' 12"" W";310 m
SSFG;"18° 13' 52"" S";"55° 45' 4"" W";152 m
SWGG;"14° 46' 1"" S";"57° 16' 2"" W";301 m
SWFG;"21° 7' 17"" S";"54° 26' 48"" W";457 m
SSXG;"22° 39' 42"" S";"52° 8' 33"" W";308 m
SDNW;"19° 31' 0"" S";"55° 13' 55"" W";637 m
SIQG;"21° 52' 51"" S";"55° 32' 21"" W";543 m
SIRT;"13° 55' 29"" S";"57° 14' 36"" W";545 m
SSQA;"13° 43' 23"" S";"60° 18' 55"" W";253 m
SWQU;"14° 36' 4"" S";"60° 7' 18"" W";219 m
SNOM;"15° 0' 56"" S";"60° 13' 26"" W";305 m
SDXD;"14° 38' 23"" S";"45° 48' 17"" W";855 m
SDEJ;"23° 39' 57"" S";"48° 4' 22"" W";620 m
SSYN;"22° 9' 51"" S";"53° 34' 6"" W";301 m
SWVX;"10° 14' 29"" S";"60° 8' 28"" W";162 m
SNWD;"23° 25' 49"" S";"54° 36' 30"" W";407 m
SJSV;"20° 14' 53"" S";"46° 11' 29"" W";760,476 m
SSGU;"23° 11' 36"" S";"53° 19' 42"" W";270 m
SDHE;"22° 29' 30"" S";"46° 50' 35"" W";740 m
SJIY;"14° 8' 29"" S";"46° 41' 3"" W";528 m
SIEA;"21° 27' 59"" S";"50° 47' 55"" W";409 m
SWYK;"17° 3' 45"" S";"56° 35' 1"" W";109 m
SIVK;"17° 17' 17"" S";"55° 53' 43"" W";128 m
SIMF;"7° 51' 1"" S";"44° 4' 9"" W";494 m
SSYV;"18° 40' 47"" S";"52° 54' 6"" W";851 m
SWWF;"19° 18' 21"" S";"48° 11' 36"" W";851 m
SWJL;"19° 2' 13"" S";"51° 15' 58"" W";410 m
SIPH;"13° 37' 33"" S";"46° 8' 23"" W";946 m
SSIA;"8° 25' 40"" S";"45° 18' 37"" W";530 m
SSME;"20° 58' 50"" S";"55° 33' 57"" W";245 m
SJDI;"22° 55' 5"" S";"53° 4' 6"" W";449 m
SNWG;"23° 35' 13"" S";"54° 3' 28"" W";180 m
SIIZ;"13° 45' 30"" S";"49° 28' 23"" W";384 m
SWHD;"23° 1' 19"" S";"53° 54' 4"" W";324 m
SIRA;"16° 4' 46"" S";"58° 5' 46"" W";163 m
SNOA;"7° 19' 6"" S";"46° 4' 27"" W";275 m
SWHY;"21° 29' 40"" S";"55° 15' 58"" W";454 m
SJGF;"13° 45' 16"" S";"57° 54' 14"" W";585 m
SDYF;"13° 6' 24"" S";"55° 59' 35"" W";429 m
SDIH;"23° 33' 56"" S";"46° 4' 10"" W";752 m
SJTC;"22° 14' 59"" S";"55° 55' 36"" W";649 m
